contig,chr,cM
IWGSC_CSS_2BL_scaff_7939904,2B,56.91
IWGSC_CSS_2BL_scaff_7940005,2B,56.91
IWGSC_CSS_2BL_scaff_7940050,2B,56.91
IWGSC_CSS_2BL_scaff_7940339,2B,56.91
IWGSC_CSS_2BL_scaff_7940434,2B,56.91
IWGSC_CSS_2BL_scaff_7940819,2B,56.91
IWGSC_CSS_2BL_scaff_7940879,2B,56.91
IWGSC_CSS_2BL_scaff_7942038,2B,56.91
IWGSC_CSS_2BL_scaff_7942593,2B,56.91
IWGSC_CSS_2BL_scaff_7942608,2B,56.91
IWGSC_CSS_2BL_scaff_7942867,2B,56.91
IWGSC_CSS_2BL_scaff_7942918,2B,56.91
IWGSC_CSS_2BL_scaff_7943117,2B,56.91
IWGSC_CSS_2BL_scaff_7943593,2B,56.91
IWGSC_CSS_2BL_scaff_7943690,2B,56.91
IWGSC_CSS_2BL_scaff_7943842,2B,56.91
IWGSC_CSS_2BL_scaff_7944108,2B,56.91
IWGSC_CSS_2BL_scaff_7944333,2B,56.91
IWGSC_CSS_2BL_scaff_7944492,2B,56.91
IWGSC_CSS_2BL_scaff_7944657,2B,56.91
IWGSC_CSS_2BL_scaff_7944821,2B,56.91
IWGSC_CSS_2BL_scaff_7945300,2B,56.91
IWGSC_CSS_2BL_scaff_7945305,2B,56.91
IWGSC_CSS_2BL_scaff_7946077,2B,56.91
IWGSC_CSS_2BL_scaff_7946115,2B,56.91
IWGSC_CSS_2BL_scaff_7946870,2B,56.91
IWGSC_CSS_2BL_scaff_7947979,2B,56.91
IWGSC_CSS_2BL_scaff_7947994,2B,56.91
IWGSC_CSS_2BL_scaff_7948071,2B,56.91
IWGSC_CSS_2BL_scaff_7949159,2B,56.91
IWGSC_CSS_2BL_scaff_7950508,2B,56.91
IWGSC_CSS_2BL_scaff_7950550,2B,56.91
IWGSC_CSS_2BL_scaff_7951342,2B,56.91
IWGSC_CSS_2BL_scaff_7951703,2B,56.91
IWGSC_CSS_2BL_scaff_7951817,2B,56.91
IWGSC_CSS_2BL_scaff_7952305,2B,56.91
IWGSC_CSS_2BL_scaff_7952648,2B,56.91
IWGSC_CSS_2BL_scaff_7952761,2B,56.91
IWGSC_CSS_2BL_scaff_7952829,2B,56.91
IWGSC_CSS_2BL_scaff_7953545,2B,56.91
IWGSC_CSS_2BL_scaff_7953574,2B,56.91
IWGSC_CSS_2BL_scaff_7953810,2B,56.91
IWGSC_CSS_2BL_scaff_7953919,2B,56.91
IWGSC_CSS_2BL_scaff_7954028,2B,56.91
IWGSC_CSS_2BL_scaff_7954052,2B,56.91
IWGSC_CSS_2BL_scaff_7954204,2B,56.91
IWGSC_CSS_2BL_scaff_7954318,2B,56.91
IWGSC_CSS_2BL_scaff_7954423,2B,56.91
IWGSC_CSS_2BL_scaff_7954478,2B,56.91
IWGSC_CSS_2BL_scaff_7954595,2B,56.91
IWGSC_CSS_2BL_scaff_7954631,2B,56.91
IWGSC_CSS_2BL_scaff_7954936,2B,56.91
IWGSC_CSS_2BL_scaff_7955063,2B,56.91
IWGSC_CSS_2BL_scaff_7955191,2B,56.91
IWGSC_CSS_2BL_scaff_7955437,2B,56.91
IWGSC_CSS_2BL_scaff_7955493,2B,56.91
IWGSC_CSS_2BL_scaff_7955874,2B,56.91
IWGSC_CSS_2BL_scaff_7956393,2B,56.91
IWGSC_CSS_2BL_scaff_7956624,2B,56.91
IWGSC_CSS_2BL_scaff_7956625,2B,56.91
IWGSC_CSS_2BL_scaff_7956746,2B,56.91
IWGSC_CSS_2BL_scaff_7956755,2B,56.91
IWGSC_CSS_2BL_scaff_7956777,2B,56.91
IWGSC_CSS_2BL_scaff_7956899,2B,56.91
IWGSC_CSS_2BL_scaff_7957064,2B,56.91
IWGSC_CSS_2BL_scaff_7957133,2B,56.91
IWGSC_CSS_2BL_scaff_7957204,2B,56.91
IWGSC_CSS_2BL_scaff_7957215,2B,56.91
IWGSC_CSS_2BL_scaff_7957226,2B,56.91
IWGSC_CSS_2BL_scaff_7957327,2B,56.91
IWGSC_CSS_2BL_scaff_7957731,2B,56.91
IWGSC_CSS_2BL_scaff_7957884,2B,56.91
IWGSC_CSS_2BL_scaff_7957968,2B,56.91
IWGSC_CSS_2BL_scaff_7958626,2B,56.91
IWGSC_CSS_2BL_scaff_7958679,2B,56.91
IWGSC_CSS_2BL_scaff_7958824,2B,56.91
IWGSC_CSS_2BL_scaff_7958827,2B,56.91
IWGSC_CSS_2BL_scaff_7958828,2B,56.91
IWGSC_CSS_2BL_scaff_7958919,2B,56.91
IWGSC_CSS_2BL_scaff_7959300,2B,56.91
IWGSC_CSS_2BL_scaff_7959468,2B,56.91
IWGSC_CSS_2BL_scaff_7959766,2B,56.91
IWGSC_CSS_2BL_scaff_7960282,2B,56.91
IWGSC_CSS_2BL_scaff_7960521,2B,56.91
IWGSC_CSS_2BL_scaff_7960568,2B,56.91
IWGSC_CSS_2BL_scaff_7961676,2B,56.91
IWGSC_CSS_2BL_scaff_7961972,2B,56.91
IWGSC_CSS_2BL_scaff_7962268,2B,56.91
IWGSC_CSS_2BL_scaff_7962452,2B,56.91
IWGSC_CSS_2BL_scaff_7962496,2B,56.91
IWGSC_CSS_2BL_scaff_7962844,2B,56.91
IWGSC_CSS_2BL_scaff_7963004,2B,56.91
IWGSC_CSS_2BL_scaff_7963285,2B,56.91
IWGSC_CSS_2BL_scaff_7963470,2B,56.91
IWGSC_CSS_2BL_scaff_7963560,2B,56.91
IWGSC_CSS_2BL_scaff_7963715,2B,56.91
IWGSC_CSS_2BL_scaff_7963844,2B,56.91
IWGSC_CSS_2BL_scaff_7964215,2B,56.91
IWGSC_CSS_2BL_scaff_7965514,2B,56.91
IWGSC_CSS_2BL_scaff_7965973,2B,56.91
IWGSC_CSS_2BL_scaff_7966343,2B,56.91
IWGSC_CSS_2BL_scaff_7966533,2B,56.91
IWGSC_CSS_2BL_scaff_7966954,2B,56.91
IWGSC_CSS_2BL_scaff_7967017,2B,56.91
IWGSC_CSS_2BL_scaff_7967658,2B,56.91
IWGSC_CSS_2BL_scaff_7967776,2B,56.91
IWGSC_CSS_2BL_scaff_7967945,2B,56.91
IWGSC_CSS_2BL_scaff_7967959,2B,56.91
IWGSC_CSS_2BL_scaff_7968023,2B,56.91
IWGSC_CSS_2BL_scaff_7968527,2B,56.91
IWGSC_CSS_2BL_scaff_7968645,2B,56.91
IWGSC_CSS_2BL_scaff_7968664,2B,56.91
IWGSC_CSS_2BL_scaff_7968733,2B,56.91
IWGSC_CSS_2BL_scaff_7968802,2B,56.91
IWGSC_CSS_2BL_scaff_7968856,2B,56.91
IWGSC_CSS_2BL_scaff_7969239,2B,56.91
IWGSC_CSS_2BL_scaff_7969470,2B,56.91
IWGSC_CSS_2BL_scaff_7970101,2B,56.91
IWGSC_CSS_2BL_scaff_7971982,2B,56.91
IWGSC_CSS_2BL_scaff_7972098,2B,56.91
IWGSC_CSS_2BL_scaff_7972249,2B,56.91
IWGSC_CSS_2BL_scaff_7972875,2B,56.91
IWGSC_CSS_2BL_scaff_7973083,2B,56.91
IWGSC_CSS_2BL_scaff_7973315,2B,56.91
IWGSC_CSS_2BL_scaff_7973669,2B,56.91
IWGSC_CSS_2BL_scaff_7973895,2B,56.91
IWGSC_CSS_2BL_scaff_7973986,2B,56.91
IWGSC_CSS_2BL_scaff_7974127,2B,56.91
IWGSC_CSS_2BL_scaff_7974232,2B,56.91
IWGSC_CSS_2BL_scaff_7974515,2B,56.91
IWGSC_CSS_2BL_scaff_7974772,2B,56.91
IWGSC_CSS_2BL_scaff_7975016,2B,56.91
IWGSC_CSS_2BL_scaff_7975294,2B,56.91
IWGSC_CSS_2BL_scaff_7975721,2B,56.91
IWGSC_CSS_2BL_scaff_7975907,2B,56.91
IWGSC_CSS_2BL_scaff_7975920,2B,56.91
IWGSC_CSS_2BL_scaff_7976237,2B,56.91
IWGSC_CSS_2BL_scaff_7976397,2B,56.91
IWGSC_CSS_2BL_scaff_7976538,2B,56.91
IWGSC_CSS_2BL_scaff_7976855,2B,56.91
IWGSC_CSS_2BL_scaff_7977165,2B,56.91
IWGSC_CSS_2BL_scaff_7977226,2B,56.91
IWGSC_CSS_2BL_scaff_7977686,2B,56.91
IWGSC_CSS_2BL_scaff_7978065,2B,56.91
IWGSC_CSS_2BL_scaff_7978526,2B,56.91
IWGSC_CSS_2BL_scaff_7978591,2B,56.91
IWGSC_CSS_2BL_scaff_7978772,2B,56.91
IWGSC_CSS_2BL_scaff_7979083,2B,56.91
IWGSC_CSS_2BL_scaff_7979247,2B,56.91
IWGSC_CSS_2BL_scaff_7979691,2B,56.91
IWGSC_CSS_2BL_scaff_7979836,2B,56.91
IWGSC_CSS_2BL_scaff_7979880,2B,56.91
IWGSC_CSS_2BL_scaff_7980207,2B,56.91
IWGSC_CSS_2BL_scaff_7980449,2B,56.91
IWGSC_CSS_2BL_scaff_7980641,2B,56.91
IWGSC_CSS_2BL_scaff_7981024,2B,56.91
IWGSC_CSS_2BL_scaff_7981568,2B,56.91
IWGSC_CSS_2BL_scaff_7981991,2B,56.91
IWGSC_CSS_2BL_scaff_7982173,2B,56.91
IWGSC_CSS_2BL_scaff_7982500,2B,56.91
IWGSC_CSS_2BL_scaff_7982658,2B,56.91
IWGSC_CSS_2BL_scaff_7983415,2B,56.91
IWGSC_CSS_2BL_scaff_7983528,2B,56.91
IWGSC_CSS_2BL_scaff_7983724,2B,56.91
IWGSC_CSS_2BL_scaff_7984021,2B,56.91
IWGSC_CSS_2BL_scaff_7984272,2B,56.91
IWGSC_CSS_2BL_scaff_7984408,2B,56.91
IWGSC_CSS_2BL_scaff_7984631,2B,56.91
IWGSC_CSS_2BL_scaff_7984808,2B,56.91
IWGSC_CSS_2BL_scaff_7985864,2B,56.91
IWGSC_CSS_2BL_scaff_7986273,2B,56.91
IWGSC_CSS_2BL_scaff_7986690,2B,56.91
IWGSC_CSS_2BL_scaff_7986918,2B,56.91
IWGSC_CSS_2BL_scaff_7987283,2B,56.91
IWGSC_CSS_2BL_scaff_7987515,2B,56.91
IWGSC_CSS_2BL_scaff_7987857,2B,56.91
IWGSC_CSS_2BL_scaff_7988293,2B,56.91
IWGSC_CSS_2BL_scaff_7988879,2B,56.91
IWGSC_CSS_2BL_scaff_7988993,2B,56.91
IWGSC_CSS_2BL_scaff_7989170,2B,56.91
IWGSC_CSS_2BL_scaff_7989196,2B,56.91
IWGSC_CSS_2BL_scaff_7989208,2B,56.91
IWGSC_CSS_2BL_scaff_7989481,2B,56.91
IWGSC_CSS_2BL_scaff_7990000,2B,56.91
IWGSC_CSS_2BL_scaff_7990242,2B,56.91
IWGSC_CSS_2BL_scaff_7990333,2B,56.91
IWGSC_CSS_2BL_scaff_7990462,2B,56.91
IWGSC_CSS_2BL_scaff_7990506,2B,56.91
IWGSC_CSS_2BL_scaff_7990859,2B,56.91
IWGSC_CSS_2BL_scaff_7991050,2B,56.91
IWGSC_CSS_2BL_scaff_7991076,2B,56.91
IWGSC_CSS_2BL_scaff_7991405,2B,56.91
IWGSC_CSS_2BL_scaff_7992052,2B,56.91
IWGSC_CSS_2BL_scaff_7992069,2B,56.91
IWGSC_CSS_2BL_scaff_7992254,2B,56.91
IWGSC_CSS_2BL_scaff_7992368,2B,56.91
IWGSC_CSS_2BL_scaff_7993471,2B,56.91
IWGSC_CSS_2BL_scaff_7993730,2B,56.91
IWGSC_CSS_2BL_scaff_7995066,2B,56.91
IWGSC_CSS_2BL_scaff_7995445,2B,56.91
IWGSC_CSS_2BL_scaff_7995872,2B,56.91
IWGSC_CSS_2BL_scaff_7996078,2B,56.91
IWGSC_CSS_2BL_scaff_7996597,2B,56.91
IWGSC_CSS_2BL_scaff_7996938,2B,56.91
IWGSC_CSS_2BL_scaff_7997185,2B,56.91
IWGSC_CSS_2BL_scaff_7997407,2B,56.91
IWGSC_CSS_2BL_scaff_7997719,2B,56.91
IWGSC_CSS_2BL_scaff_7997772,2B,56.91
IWGSC_CSS_2BL_scaff_7997947,2B,56.91
IWGSC_CSS_2BL_scaff_7998212,2B,56.91
IWGSC_CSS_2BL_scaff_7998455,2B,56.91
IWGSC_CSS_2BL_scaff_7998723,2B,56.91
IWGSC_CSS_2BL_scaff_7999255,2B,56.91
IWGSC_CSS_2BL_scaff_7999619,2B,56.91
IWGSC_CSS_2BL_scaff_7999675,2B,56.91
IWGSC_CSS_2BL_scaff_8000429,2B,56.91
IWGSC_CSS_2BL_scaff_8000997,2B,56.91
IWGSC_CSS_2BL_scaff_8001336,2B,56.91
IWGSC_CSS_2BL_scaff_8001892,2B,56.91
IWGSC_CSS_2BL_scaff_8002166,2B,56.91
IWGSC_CSS_2BL_scaff_8002254,2B,56.91
IWGSC_CSS_2BL_scaff_8002803,2B,56.91
IWGSC_CSS_2BL_scaff_8002874,2B,56.91
IWGSC_CSS_2BL_scaff_8002889,2B,56.91
IWGSC_CSS_2BL_scaff_8003107,2B,56.91
IWGSC_CSS_2BL_scaff_8003304,2B,56.91
IWGSC_CSS_2BL_scaff_8003461,2B,56.91
IWGSC_CSS_2BL_scaff_8003473,2B,56.91
IWGSC_CSS_2BL_scaff_8003840,2B,56.91
IWGSC_CSS_2BL_scaff_8004261,2B,56.91
IWGSC_CSS_2BL_scaff_8004535,2B,56.91
IWGSC_CSS_2BL_scaff_8004615,2B,56.91
IWGSC_CSS_2BL_scaff_8004917,2B,56.91
IWGSC_CSS_2BL_scaff_8004944,2B,56.91
IWGSC_CSS_2BL_scaff_8005206,2B,56.91
IWGSC_CSS_2BL_scaff_8005371,2B,56.91
IWGSC_CSS_2BL_scaff_8005449,2B,56.91
IWGSC_CSS_2BL_scaff_8005636,2B,56.91
IWGSC_CSS_2BL_scaff_8005637,2B,56.91
IWGSC_CSS_2BL_scaff_8005749,2B,56.91
IWGSC_CSS_2BL_scaff_8005812,2B,56.91
IWGSC_CSS_2BL_scaff_8006272,2B,56.91
IWGSC_CSS_2BL_scaff_8007103,2B,56.91
IWGSC_CSS_2BL_scaff_8007334,2B,56.91
IWGSC_CSS_2BL_scaff_8007954,2B,56.91
IWGSC_CSS_2BL_scaff_8008119,2B,56.91
IWGSC_CSS_2BL_scaff_8008134,2B,56.91
IWGSC_CSS_2BL_scaff_8008153,2B,56.91
IWGSC_CSS_2BL_scaff_8008805,2B,56.91
IWGSC_CSS_2BL_scaff_8008995,2B,56.91
IWGSC_CSS_2BL_scaff_8009432,2B,56.91
IWGSC_CSS_2BL_scaff_8009487,2B,56.91
IWGSC_CSS_2BL_scaff_8009735,2B,56.91
IWGSC_CSS_2BL_scaff_8009945,2B,56.91
IWGSC_CSS_2BL_scaff_8010183,2B,56.91
IWGSC_CSS_2BL_scaff_8010240,2B,56.91
IWGSC_CSS_2BL_scaff_8010384,2B,56.91
IWGSC_CSS_2BL_scaff_8010668,2B,56.91
IWGSC_CSS_2BL_scaff_8010680,2B,56.91
IWGSC_CSS_2BL_scaff_8010858,2B,56.91
IWGSC_CSS_2BL_scaff_8011287,2B,56.91
IWGSC_CSS_2BL_scaff_8011434,2B,56.91
IWGSC_CSS_2BL_scaff_8011481,2B,56.91
IWGSC_CSS_2BL_scaff_8011877,2B,56.91
IWGSC_CSS_2BL_scaff_8011927,2B,56.91
IWGSC_CSS_2BL_scaff_8012268,2B,56.91
IWGSC_CSS_2BL_scaff_8012487,2B,56.91
IWGSC_CSS_2BL_scaff_8012515,2B,56.91
IWGSC_CSS_2BL_scaff_8012705,2B,56.91
IWGSC_CSS_2BL_scaff_8012952,2B,56.91
IWGSC_CSS_2BL_scaff_8013146,2B,56.91
IWGSC_CSS_2BL_scaff_8013333,2B,56.91
IWGSC_CSS_2BL_scaff_8013358,2B,56.91
IWGSC_CSS_2BL_scaff_8013460,2B,56.91
IWGSC_CSS_2BL_scaff_8013527,2B,56.91
IWGSC_CSS_2BL_scaff_8013667,2B,56.91
IWGSC_CSS_2BL_scaff_8014581,2B,56.91
IWGSC_CSS_2BL_scaff_8014746,2B,56.91
IWGSC_CSS_2BL_scaff_8014795,2B,56.91
IWGSC_CSS_2BL_scaff_8014838,2B,56.91
IWGSC_CSS_2BL_scaff_8015473,2B,56.91
IWGSC_CSS_2BL_scaff_8015568,2B,56.91
IWGSC_CSS_2BL_scaff_8015596,2B,56.91
IWGSC_CSS_2BL_scaff_8015860,2B,56.91
IWGSC_CSS_2BL_scaff_8015915,2B,56.91
IWGSC_CSS_2BL_scaff_8015917,2B,56.91
IWGSC_CSS_2BL_scaff_8016100,2B,56.91
IWGSC_CSS_2BL_scaff_8016203,2B,56.91
IWGSC_CSS_2BL_scaff_8016390,2B,56.91
IWGSC_CSS_2BL_scaff_8016478,2B,56.91
IWGSC_CSS_2BL_scaff_8016509,2B,56.91
IWGSC_CSS_2BL_scaff_8016554,2B,56.91
IWGSC_CSS_2BL_scaff_8016651,2B,56.91
IWGSC_CSS_2BL_scaff_8017191,2B,56.91
IWGSC_CSS_2BL_scaff_8017424,2B,56.91
IWGSC_CSS_2BL_scaff_8017485,2B,56.91
IWGSC_CSS_2BL_scaff_8017634,2B,56.91
IWGSC_CSS_2BL_scaff_8017864,2B,56.91
IWGSC_CSS_2BL_scaff_8018099,2B,56.91
IWGSC_CSS_2BL_scaff_8018735,2B,56.91
IWGSC_CSS_2BL_scaff_8018802,2B,56.91
IWGSC_CSS_2BL_scaff_8019923,2B,56.91
IWGSC_CSS_2BL_scaff_8019983,2B,56.91
IWGSC_CSS_2BL_scaff_8020135,2B,56.91
IWGSC_CSS_2BL_scaff_8020139,2B,56.91
IWGSC_CSS_2BL_scaff_8021121,2B,56.91
IWGSC_CSS_2BL_scaff_8021225,2B,56.91
IWGSC_CSS_2BL_scaff_8021464,2B,56.91
IWGSC_CSS_2BL_scaff_8021646,2B,56.91
IWGSC_CSS_2BL_scaff_8021737,2B,56.91
IWGSC_CSS_2BL_scaff_8021980,2B,56.91
IWGSC_CSS_2BL_scaff_8022189,2B,56.91
IWGSC_CSS_2BL_scaff_8022589,2B,56.91
IWGSC_CSS_2BL_scaff_8022727,2B,56.91
IWGSC_CSS_2BL_scaff_8022837,2B,56.91
IWGSC_CSS_2BL_scaff_8022885,2B,56.91
IWGSC_CSS_2BL_scaff_8023591,2B,56.91
IWGSC_CSS_2BL_scaff_8023603,2B,56.91
IWGSC_CSS_2BL_scaff_8024233,2B,56.91
IWGSC_CSS_2BL_scaff_8024559,2B,56.91
IWGSC_CSS_2BL_scaff_8024664,2B,56.91
IWGSC_CSS_2BL_scaff_8024818,2B,56.91
IWGSC_CSS_2BL_scaff_8024970,2B,56.91
IWGSC_CSS_2BL_scaff_8025803,2B,56.91
IWGSC_CSS_2BL_scaff_8025997,2B,56.91
IWGSC_CSS_2BL_scaff_8026225,2B,56.91
IWGSC_CSS_2BL_scaff_8026330,2B,56.91
IWGSC_CSS_2BL_scaff_8026404,2B,56.91
IWGSC_CSS_2BL_scaff_8026472,2B,56.91
IWGSC_CSS_2BL_scaff_8026507,2B,56.91
IWGSC_CSS_2BL_scaff_8026612,2B,56.91
IWGSC_CSS_2BL_scaff_8026884,2B,56.91
IWGSC_CSS_2BL_scaff_8026991,2B,56.91
IWGSC_CSS_2BL_scaff_8027311,2B,56.91
IWGSC_CSS_2BL_scaff_8027447,2B,56.91
IWGSC_CSS_2BL_scaff_8027613,2B,56.91
IWGSC_CSS_2BL_scaff_8027661,2B,56.91
IWGSC_CSS_2BL_scaff_8027870,2B,56.91
IWGSC_CSS_2BL_scaff_8028098,2B,56.91
IWGSC_CSS_2BL_scaff_8028200,2B,56.91
IWGSC_CSS_2BL_scaff_8028352,2B,56.91
IWGSC_CSS_2BL_scaff_8029164,2B,56.91
IWGSC_CSS_2BL_scaff_8030270,2B,56.91
IWGSC_CSS_2BL_scaff_8030416,2B,56.91
IWGSC_CSS_2BL_scaff_8030545,2B,56.91
IWGSC_CSS_2BL_scaff_8030689,2B,56.91
IWGSC_CSS_2BL_scaff_8030857,2B,56.91
IWGSC_CSS_2BL_scaff_8030951,2B,56.91
IWGSC_CSS_2BL_scaff_8031161,2B,56.91
IWGSC_CSS_2BL_scaff_8031343,2B,56.91
IWGSC_CSS_2BL_scaff_8031466,2B,56.91
IWGSC_CSS_2BL_scaff_8031489,2B,56.91
IWGSC_CSS_2BL_scaff_8031573,2B,56.91
IWGSC_CSS_2BL_scaff_8031633,2B,56.91
IWGSC_CSS_2BL_scaff_8031859,2B,56.91
IWGSC_CSS_2BL_scaff_8032034,2B,56.91
IWGSC_CSS_2BL_scaff_8032046,2B,56.91
IWGSC_CSS_2BL_scaff_8032063,2B,56.91
IWGSC_CSS_2BL_scaff_8032264,2B,56.91
IWGSC_CSS_2BL_scaff_8032941,2B,56.91
IWGSC_CSS_2BL_scaff_8033519,2B,56.91
IWGSC_CSS_2BL_scaff_8034596,2B,56.91
IWGSC_CSS_2BL_scaff_8034844,2B,56.91
IWGSC_CSS_2BL_scaff_8035189,2B,56.91
IWGSC_CSS_2BL_scaff_8035322,2B,56.91
IWGSC_CSS_2BL_scaff_8035341,2B,56.91
IWGSC_CSS_2BL_scaff_8035677,2B,56.91
IWGSC_CSS_2BL_scaff_8035852,2B,56.91
IWGSC_CSS_2BL_scaff_8035855,2B,56.91
IWGSC_CSS_2BL_scaff_8036010,2B,56.91
IWGSC_CSS_2BL_scaff_8036224,2B,56.91
IWGSC_CSS_2BL_scaff_8036269,2B,56.91
IWGSC_CSS_2BL_scaff_8036564,2B,56.91
IWGSC_CSS_2BL_scaff_8036667,2B,56.91
IWGSC_CSS_2BL_scaff_8037443,2B,56.91
IWGSC_CSS_2BL_scaff_8037518,2B,56.91
IWGSC_CSS_2BL_scaff_8037579,2B,56.91
IWGSC_CSS_2BL_scaff_8037743,2B,56.91
IWGSC_CSS_2BL_scaff_8037875,2B,56.91
IWGSC_CSS_2BL_scaff_8038184,2B,56.91
IWGSC_CSS_2BL_scaff_8038487,2B,56.91
IWGSC_CSS_2BL_scaff_8038774,2B,56.91
IWGSC_CSS_2BL_scaff_8038803,2B,56.91
IWGSC_CSS_2BL_scaff_8039081,2B,56.91
IWGSC_CSS_2BL_scaff_8039101,2B,56.91
IWGSC_CSS_2BL_scaff_8039868,2B,56.91
IWGSC_CSS_2BL_scaff_8039982,2B,56.91
IWGSC_CSS_2BL_scaff_8039987,2B,56.91
IWGSC_CSS_2BL_scaff_8040069,2B,56.91
IWGSC_CSS_2BL_scaff_8040084,2B,56.91
IWGSC_CSS_2BL_scaff_8040229,2B,56.91
IWGSC_CSS_2BL_scaff_8040442,2B,56.91
IWGSC_CSS_2BL_scaff_8041138,2B,56.91
IWGSC_CSS_2BL_scaff_8041367,2B,56.91
IWGSC_CSS_2BL_scaff_8041387,2B,56.91
IWGSC_CSS_2BL_scaff_8042579,2B,56.91
IWGSC_CSS_2BL_scaff_8043190,2B,56.91
IWGSC_CSS_2BL_scaff_8043433,2B,56.91
IWGSC_CSS_2BL_scaff_8043893,2B,56.91
IWGSC_CSS_2BL_scaff_8044130,2B,56.91
IWGSC_CSS_2BL_scaff_8044163,2B,56.91
IWGSC_CSS_2BL_scaff_8044310,2B,56.91
IWGSC_CSS_2BL_scaff_8045037,2B,56.91
IWGSC_CSS_2BL_scaff_8045849,2B,56.91
IWGSC_CSS_2BL_scaff_8045949,2B,56.91
IWGSC_CSS_2BL_scaff_8046094,2B,56.91
IWGSC_CSS_2BL_scaff_8046141,2B,56.91
IWGSC_CSS_2BL_scaff_8046409,2B,56.91
IWGSC_CSS_2BL_scaff_8047178,2B,56.91
IWGSC_CSS_2BL_scaff_8047441,2B,56.91
IWGSC_CSS_2BL_scaff_8047509,2B,56.91
IWGSC_CSS_2BL_scaff_8047543,2B,56.91
IWGSC_CSS_2BL_scaff_8047666,2B,56.91
IWGSC_CSS_2BL_scaff_8049262,2B,56.91
IWGSC_CSS_2BL_scaff_8049530,2B,56.91
IWGSC_CSS_2BL_scaff_8049916,2B,56.91
IWGSC_CSS_2BL_scaff_8050547,2B,56.91
IWGSC_CSS_2BL_scaff_8050943,2B,56.91
IWGSC_CSS_2BL_scaff_8051004,2B,56.91
IWGSC_CSS_2BL_scaff_8051240,2B,56.91
IWGSC_CSS_2BL_scaff_8051688,2B,56.91
IWGSC_CSS_2BL_scaff_8051866,2B,56.91
IWGSC_CSS_2BL_scaff_8052392,2B,56.91
IWGSC_CSS_2BL_scaff_8052425,2B,56.91
IWGSC_CSS_2BL_scaff_8052613,2B,56.91
IWGSC_CSS_2BL_scaff_8052700,2B,56.91
IWGSC_CSS_2BL_scaff_8052714,2B,56.91
IWGSC_CSS_2BL_scaff_8052979,2B,56.91
IWGSC_CSS_2BL_scaff_8053261,2B,56.91
IWGSC_CSS_2BL_scaff_8053894,2B,56.91
IWGSC_CSS_2BL_scaff_8055045,2B,56.91
IWGSC_CSS_2BL_scaff_8055292,2B,56.91
IWGSC_CSS_2BL_scaff_8055382,2B,56.91
IWGSC_CSS_2BL_scaff_8055661,2B,56.91
IWGSC_CSS_2BL_scaff_8055780,2B,56.91
IWGSC_CSS_2BL_scaff_8056066,2B,56.91
IWGSC_CSS_2BL_scaff_8056073,2B,56.91
IWGSC_CSS_2BL_scaff_8056289,2B,56.91
IWGSC_CSS_2BL_scaff_8056304,2B,56.91
IWGSC_CSS_2BL_scaff_8056336,2B,56.91
IWGSC_CSS_2BL_scaff_8056486,2B,56.91
IWGSC_CSS_2BL_scaff_8057001,2B,56.91
IWGSC_CSS_2BL_scaff_8057004,2B,56.91
IWGSC_CSS_2BL_scaff_8057096,2B,56.91
IWGSC_CSS_2BL_scaff_8057154,2B,56.91
IWGSC_CSS_2BL_scaff_8057208,2B,56.91
IWGSC_CSS_2BL_scaff_8057670,2B,56.91
IWGSC_CSS_2BL_scaff_8058940,2B,56.91
IWGSC_CSS_2BL_scaff_8058951,2B,56.91
IWGSC_CSS_2BL_scaff_8059192,2B,56.91
IWGSC_CSS_2BL_scaff_8059250,2B,56.91
IWGSC_CSS_2BL_scaff_8059267,2B,56.91
IWGSC_CSS_2BL_scaff_8059286,2B,56.91
IWGSC_CSS_2BL_scaff_8059545,2B,56.91
IWGSC_CSS_2BL_scaff_8059620,2B,56.91
IWGSC_CSS_2BL_scaff_8060083,2B,56.91
IWGSC_CSS_2BL_scaff_8060270,2B,56.91
IWGSC_CSS_2BL_scaff_8060304,2B,56.91
IWGSC_CSS_2BL_scaff_8061336,2B,56.91
IWGSC_CSS_2BL_scaff_8061358,2B,56.91
IWGSC_CSS_2BL_scaff_8061426,2B,56.91
IWGSC_CSS_2BL_scaff_8061536,2B,56.91
IWGSC_CSS_2BL_scaff_8062176,2B,56.91
IWGSC_CSS_2BL_scaff_8062381,2B,56.91
IWGSC_CSS_2BL_scaff_8063448,2B,56.91
IWGSC_CSS_2BL_scaff_8063597,2B,56.91
IWGSC_CSS_2BL_scaff_8063629,2B,56.91
IWGSC_CSS_2BL_scaff_8063719,2B,56.91
IWGSC_CSS_2BL_scaff_8063854,2B,56.91
IWGSC_CSS_2BL_scaff_8063914,2B,56.91
IWGSC_CSS_2BL_scaff_8063935,2B,56.91
IWGSC_CSS_2BL_scaff_8064006,2B,56.91
IWGSC_CSS_2BL_scaff_8064696,2B,56.91
IWGSC_CSS_2BL_scaff_8064726,2B,56.91
IWGSC_CSS_2BL_scaff_8065205,2B,56.91
IWGSC_CSS_2BL_scaff_8065224,2B,56.91
IWGSC_CSS_2BL_scaff_8065514,2B,56.91
IWGSC_CSS_2BL_scaff_8066525,2B,56.91
IWGSC_CSS_2BL_scaff_8066935,2B,56.91
IWGSC_CSS_2BL_scaff_8067262,2B,56.91
IWGSC_CSS_2BL_scaff_8067321,2B,56.91
IWGSC_CSS_2BL_scaff_8067367,2B,56.91
